round,loss,accuracy
1,2.2879448782039593,0.1463
2,2.06218961522549,0.4711
3,2.138058221792873,0.4838
4,1.22354616243628,0.6729
5,0.9796606521063214,0.7613
6,0.6581678794154638,0.8338
7,0.4139668986767153,0.9024
8,0.3207258338792415,0.9214
9,0.26038787947802605,0.9332
10,0.21110241355586656,0.9423
11,0.1877102071442936,0.9477
12,0.17280627016119565,0.9504
13,0.1607687640227849,0.9539
14,0.14947007739138377,0.9555
15,0.1406848623735618,0.9582
16,0.13436765644605023,0.9595
17,0.12886233498118346,0.9622
18,0.12369500210838794,0.9627
19,0.12013544627948652,0.9643
20,0.11742320412746336,0.9639
21,0.11311618176795825,0.9662
22,0.10908877060901892,0.9668
23,0.10707893269136548,0.9683
24,0.10367672024530512,0.9679
25,0.10045337785754495,0.9688
26,0.09896895314177757,0.9691
27,0.0978327878939483,0.97
28,0.09650291436457936,0.9706
29,0.09413183978287197,0.9709
30,0.0936088052466276,0.9709
31,0.092369408246507,0.9716
32,0.0901299817428653,0.9722
33,0.08794938826998341,0.9721
34,0.08682790615513356,0.9729
35,0.08532874786318574,0.9735
36,0.08365864977623702,0.9748
37,0.08275400578409811,0.9749
38,0.0820284130381821,0.9747
39,0.080593231633671,0.9747
40,0.07930365530626636,0.9763
41,0.07921461953451456,0.9759
42,0.07948200404201929,0.9762
43,0.07825932288660278,0.9765
44,0.07716227287155446,0.9772
45,0.0761206726605497,0.9776
46,0.07607812006055979,0.9778
47,0.07515058711928586,0.9778
48,0.07433084442937464,0.9782
49,0.07446240710574968,0.9778
50,0.07346405656463054,0.9782
51,0.0733122115179637,0.9784
52,0.07294009137262084,0.979
53,0.07161417153820136,0.9787
54,0.0713599198144165,0.9791
55,0.07153784317374111,0.9793
56,0.07083626429526772,0.9796
57,0.06984743329142279,0.9795
58,0.06992273619899503,0.98
59,0.06871845007835757,0.9795
60,0.06899758096109439,0.9806
61,0.06875471161572333,0.981
62,0.06894402283824438,0.9807
63,0.06771669600194297,0.9806
64,0.06759708645367477,0.981
65,0.0676352814395464,0.9802
66,0.06700609882636278,0.9806
67,0.06644299805983665,0.981
68,0.06549874358866482,0.981
69,0.06601628031334074,0.9812
70,0.06557390022038517,0.9817
71,0.06524628841338821,0.9813
72,0.0650691713016374,0.9811
73,0.06450688550425575,0.9817
74,0.06399828371594814,0.9818
75,0.06363560886732361,0.9817
76,0.06414856606080563,0.9816
77,0.06293043245442058,0.9817
78,0.06345436076745627,0.982
79,0.06301817684684868,0.9819
80,0.06265545274938539,0.9817
81,0.06273525700200043,0.982
82,0.06265394786030903,0.982
83,0.06264199484567028,0.9817
84,0.06234677387637239,0.9816
85,0.061394813280814926,0.9822
86,0.061232466945097534,0.982
87,0.061230405544732476,0.9821
88,0.061066317334446965,0.9818
89,0.06095746388479101,0.9819
90,0.060821521687586616,0.982
91,0.060224973442640065,0.9823
92,0.06070157261808474,0.9823
93,0.06000084817907596,0.9823
94,0.05995589805232019,0.9819
95,0.05991102746780667,0.9824
96,0.05940344293021208,0.9824
97,0.05950294666786537,0.9822
98,0.059061402862425894,0.9821
99,0.05879402749389233,0.9824
100,0.058575058163621144,0.9825
